sequence,iso,unix,euid,ranging,fpAmp1,fpAmp2,fpAmp3,ldeThreshold,maxGrowthCIR,stdNoise,preamCount,timeouts,rxmsgs
0,2016-03-02 20:39:42.741015,1456947582.741015,DECA020000000002,1.152432,12903,15264,13476,1333,6043,52,232,0,526
0,2016-03-02 20:39:42.756615,1456947582.756615,DECA020000000003,1.092076,8409,15206,14268,1325,5867,52,228,0,528
1,2016-03-02 20:39:42.772215,1456947582.772215,DECA020000000002,1.139533,14944,14930,9670,1242,6353,48,232,0,530
1,2016-03-02 20:39:42.787815,1456947582.787815,DECA020000000003,1.086214,12110,15524,13199,1278,6388,52,241,0,532
2,2016-03-02 20:39:42.803415,1456947582.803415,DECA020000000002,1.143051,10670,14709,13421,1236,5513,48,228,0,534
2,2016-03-02 20:39:42.819015,1456947582.819015,DECA020000000003,1.110838,12084,15402,13303,1227,6228,48,230,0,536
3,2016-03-02 20:39:42.834615,1456947582.834615,DECA020000000002,1.164158,14517,15853,13316,1284,6677,48,235,0,538
3,2016-03-02 20:39:42.850215,1456947582.850215,DECA020000000003,1.103802,12911,15466,13840,1096,7021,44,244,0,540
4,2016-03-02 20:39:42.865815,1456947582.865815,DECA020000000002,1.128980,14240,15353,13225,1237,6542,48,231,0,542
4,2016-03-02 20:39:42.881415,1456947582.881415,DECA020000000003,1.060417,13059,15424,12648,1078,6357,40,229,0,544
5,2016-03-02 20:39:42.912616,1456947582.912616,DECA020000000002,1.170021,14197,15525,13297,1282,6404,48,230,0,546
5,2016-03-02 20:39:42.912616,1456947582.912616,DECA020000000003,1.083868,15544,15828,11276,1234,7015,48,242,0,548
6,2016-03-02 20:39:42.943816,1456947582.943816,DECA020000000002,1.164158,13683,15462,13427,1282,6371,48,229,0,550
6,2016-03-02 20:39:42.943816,1456947582.943816,DECA020000000003,1.095594,12098,14260,12926,1273,6005,52,229,0,552
7,2016-03-02 20:39:42.975016,1456947582.975016,DECA020000000002,1.160640,13293,14846,13675,1436,6304,56,229,0,554
7,2016-03-02 20:39:42.975016,1456947582.975016,DECA020000000003,1.066279,14029,15296,10945,996,6185,40,239,0,556
8,2016-03-02 20:39:43.006216,1456947583.006216,DECA020000000002,1.179401,14426,16220,14656,1240,7319,48,241,0,558
8,2016-03-02 20:39:43.021816,1456947583.021816,DECA020000000003,1.079178,12812,14568,12463,994,6149,40,232,0,560
9,2016-03-02 20:39:43.037416,1456947583.037416,DECA020000000002,1.162985,13556,15879,14497,1492,6888,56,234,0,562
9,2016-03-02 20:39:43.053016,1456947583.053016,DECA020000000003,1.083868,13031,16188,13296,1238,6663,48,243,0,564
10,2016-03-02 20:39:43.068616,1456947583.068616,DECA020000000002,1.145396,13156,15299,14140,1337,6585,52,231,0,566
10,2016-03-02 20:39:43.084216,1456947583.084216,DECA020000000003,1.072142,8127,15559,15176,1233,6612,48,241,0,568
11,2016-03-02 20:39:43.099816,1456947583.099816,DECA020000000002,1.153604,11282,14516,13098,1089,5508,44,228,0,570
11,2016-03-02 20:39:43.115416,1456947583.115416,DECA020000000003,1.096767,13173,16189,13996,1429,7061,56,242,0,572
12,2016-03-02 20:39:43.131016,1456947583.131016,DECA020000000002,1.160640,12757,15544,14247,1281,6538,48,229,0,574
12,2016-03-02 20:39:43.146616,1456947583.146616,DECA020000000003,1.061589,14003,15242,12211,1190,6618,48,240,0,576
13,2016-03-02 20:39:43.177816,1456947583.177816,DECA020000000002,1.159467,13345,15497,14398,1142,6649,44,232,0,578
13,2016-03-02 20:39:43.177816,1456947583.177816,DECA020000000003,1.072142,12949,14391,11590,1083,5854,44,229,0,580
14,2016-03-02 20:39:43.209016,1456947583.209016,DECA020000000002,1.118427,14581,14529,10075,1100,6168,44,233,0,582
14,2016-03-02 20:39:43.209016,1456947583.209016,DECA020000000003,1.063934,13433,15193,12388,1230,6269,48,230,0,584
15,2016-03-02 20:39:43.240216,1456947583.240216,DECA020000000002,1.131325,13464,14788,13097,1288,6227,52,231,0,586
15,2016-03-02 20:39:43.240216,1456947583.240216,DECA020000000003,1.059244,13754,15688,13601,1132,7077,44,243,0,588
