sequence,iso,unix,euid,ranging,fpAmp1,fpAmp2,fpAmp3,ldeThreshold,maxGrowthCIR,stdNoise,preamCount,timeouts,rxmsgs
0,2016-03-02 20:15:50.852501,1456946150.852501,DECA020000000002,1.119046,15638,15443,10295,1744,7577,68,234,3,1567
0,2016-03-02 20:15:50.868101,1456946150.868101,DECA020000000003,1.093249,14234,15376,11571,1231,6463,48,236,3,1569
1,2016-03-02 20:15:50.899301,1456946150.899301,DECA020000000002,1.150087,15516,15040,13056,1746,7640,68,239,3,1571
1,2016-03-02 20:15:50.899301,1456946150.899301,DECA020000000003,1.093249,12047,15498,14386,1328,6655,52,237,3,1573
2,2016-03-02 20:15:50.930501,1456946150.930501,DECA020000000002,1.165330,15123,15586,12580,1541,7700,60,236,3,1575
2,2016-03-02 20:15:50.930501,1456946150.930501,DECA020000000003,1.078005,13742,14614,11960,1143,6259,48,235,3,1577
3,2016-03-02 20:15:50.961701,1456946150.961701,DECA020000000002,1.181747,14667,16011,13131,1608,7710,60,236,3,1579
3,2016-03-02 20:15:50.977301,1456946150.977301,DECA020000000003,1.114356,13886,15709,12521,1039,6620,40,235,3,1581
4,2016-03-02 20:15:50.992901,1456946150.992901,DECA020000000002,1.182919,15168,16040,12337,1704,7539,64,237,3,1583
4,2016-03-02 20:15:51.008501,1456946151.008501,DECA020000000003,1.095594,14402,14657,12203,1131,6629,48,239,3,1585
5,2016-03-02 20:15:51.024101,1456946151.024101,DECA020000000002,1.133670,15428,15233,11689,1444,7798,56,238,3,1587
5,2016-03-02 20:15:51.039701,1456946151.039701,DECA020000000003,1.097939,14272,15219,9846,1328,6305,52,234,3,1589
6,2016-03-02 20:15:51.055301,1456946151.055301,DECA020000000002,1.166503,14780,15085,14781,1298,8099,52,240,3,1591
6,2016-03-02 20:15:51.070901,1456946151.070901,DECA020000000003,1.078005,13435,15075,13234,1179,6698,48,237,3,1593
7,2016-03-02 20:15:51.086501,1456946151.086501,DECA020000000002,1.151259,14849,14557,13648,1392,7612,56,237,3,1595
7,2016-03-02 20:15:51.102101,1456946151.102101,DECA020000000003,1.109665,13462,14918,12701,1181,6382,48,234,3,1597
8,2016-03-02 20:15:51.117701,1456946151.117701,DECA020000000002,1.165330,15070,15878,12800,1455,7399,56,236,3,1599
8,2016-03-02 20:15:51.133301,1456946151.133301,DECA020000000003,1.078005,14768,14718,10589,1368,6356,56,233,3,1601
9,2016-03-02 20:15:51.164501,1456946151.164501,DECA020000000002,1.148914,16712,16087,11691,1656,8650,64,252,3,1603
9,2016-03-02 20:15:51.164501,1456946151.164501,DECA020000000003,1.090904,13497,15713,12976,1279,6631,48,233,3,1605
10,2016-03-02 20:15:51.195702,1456946151.195702,DECA020000000002,1.131325,14142,15322,14624,1342,7791,52,233,3,1607
10,2016-03-02 20:15:51.211302,1456946151.211302,DECA020000000003,1.070970,14320,15796,12382,1330,6477,52,236,3,1609
