sequence,iso,unix,euid,ranging,fpAmp1,fpAmp2,fpAmp3,ldeThreshold,maxGrowthCIR,stdNoise,preamCount,timeouts,rxmsgs
0,2016-03-02 20:31:25.145341,1456947085.145341,DECA020000000002,1.146569,15686,15929,13510,1708,7436,64,234,0,1178
0,2016-03-02 20:31:25.160941,1456947085.160941,DECA020000000003,1.099112,14684,15742,8788,1036,6875,40,243,0,1180
1,2016-03-02 20:31:25.176541,1456947085.176541,DECA020000000002,1.112010,14589,15599,14821,1547,7484,60,239,0,1182
1,2016-03-02 20:31:25.192141,1456947085.192141,DECA020000000003,1.085041,11847,15920,10976,1038,6925,40,241,0,1184
2,2016-03-02 20:31:25.223341,1456947085.223341,DECA020000000002,1.124290,16056,15663,9436,1612,7844,60,239,0,1186
2,2016-03-02 20:31:25.223341,1456947085.223341,DECA020000000003,1.090904,12304,15271,10661,1028,6677,40,236,0,1188
3,2016-03-02 20:31:25.254541,1456947085.254541,DECA020000000002,1.130153,14036,15796,15690,1351,7627,52,236,0,1190
3,2016-03-02 20:31:25.254541,1456947085.254541,DECA020000000003,1.095594,7296,15204,14400,1034,6509,40,237,0,1192
4,2016-03-02 20:31:25.285741,1456947085.285741,DECA020000000002,1.145396,16150,15877,11230,1514,7751,56,240,0,1194
4,2016-03-02 20:31:25.285741,1456947085.285741,DECA020000000003,1.100285,10826,15410,11935,989,6709,40,243,0,1196
5,2016-03-02 20:31:25.316941,1456947085.316941,DECA020000000002,1.117254,15338,15563,10525,1552,7387,60,234,0,1198
5,2016-03-02 20:31:25.332541,1456947085.332541,DECA020000000003,1.117873,7070,15077,14289,863,6908,36,243,0,1200
6,2016-03-02 20:31:25.348142,1456947085.348142,DECA020000000002,1.164158,14847,15645,15009,1649,7184,64,236,0,1202
6,2016-03-02 20:31:25.363742,1456947085.363742,DECA020000000003,1.089731,10719,15130,11643,933,6507,36,232,0,1204
7,2016-03-02 20:31:25.379342,1456947085.379342,DECA020000000002,1.134843,15393,14961,10081,1454,7383,56,236,0,1206
7,2016-03-02 20:31:25.394942,1456947085.394942,DECA020000000003,1.117254,14195,14757,8688,862,6823,36,242,0,1208
8,2016-03-02 20:31:25.410542,1456947085.410542,DECA020000000002,1.150087,15328,15013,10675,1450,7196,56,236,0,1210
8,2016-03-02 20:31:25.426142,1456947085.426142,DECA020000000003,1.126635,11365,14998,12196,1085,6830,44,240,0,1212
9,2016-03-02 20:31:25.457342,1456947085.457342,DECA020000000002,1.140706,14890,15426,14080,1550,7192,60,231,0,1214
