sequence,iso,unix,euid,ranging,fpAmp1,fpAmp2,fpAmp3,ldeThreshold,maxGrowthCIR,stdNoise,preamCount,timeouts,rxmsgs
0,2016-03-02 20:12:03.232501,1456945923.232501,DECA020000000002,1.146569,8868,15554,14607,1341,7132,52,235,0,1062
0,2016-03-02 20:12:03.248101,1456945923.248101,DECA020000000003,1.045173,12002,15308,14407,1531,7065,60,232,0,1064
1,2016-03-02 20:12:03.279301,1456945923.279301,DECA020000000002,1.167675,12858,15620,15336,1645,7569,64,241,0,1066
1,2016-03-02 20:12:03.279301,1456945923.279301,DECA020000000003,1.044000,13893,15110,12830,1288,6656,52,236,0,1068
2,2016-03-02 20:12:03.310501,1456945923.310501,DECA020000000002,1.117254,15172,15538,12437,1543,7002,60,234,0,1070
2,2016-03-02 20:12:03.310501,1456945923.310501,DECA020000000003,1.048691,15009,15855,12535,1440,7357,56,236,0,1072
3,2016-03-02 20:12:03.341701,1456945923.341701,DECA020000000002,1.126635,14542,16171,14370,1607,7802,60,239,0,1074
3,2016-03-02 20:12:03.357301,1456945923.357301,DECA020000000003,1.066279,14978,15235,10868,1531,6630,60,231,0,1076
4,2016-03-02 20:12:03.372902,1456945923.372902,DECA020000000002,1.170021,14880,15332,12952,1547,7326,60,234,0,1078
4,2016-03-02 20:12:03.388502,1456945923.388502,DECA020000000003,1.039310,14074,14749,12773,1477,6913,60,235,0,1080
5,2016-03-02 20:12:03.404102,1456945923.404102,DECA020000000002,1.143051,14779,16140,13926,1605,7563,60,238,0,1082
5,2016-03-02 20:12:03.419702,1456945923.419702,DECA020000000003,1.048691,13196,15724,14182,1593,7123,60,232,0,1084
6,2016-03-02 20:12:03.435302,1456945923.435302,DECA020000000002,1.144224,13888,14850,14161,1385,7324,56,236,0,1086
6,2016-03-02 20:12:03.450902,1456945923.450902,DECA020000000003,1.042828,13322,15523,13150,1438,6727,56,236,0,1088
7,2016-03-02 20:12:03.466502,1456945923.466502,DECA020000000002,1.124290,15151,15690,13693,1552,7668,60,240,0,1090
