sequence,iso,unix,euid,ranging,fpAmp1,fpAmp2,fpAmp3,ldeThreshold,maxGrowthCIR,stdNoise,preamCount,timeouts,rxmsgs
0,2016-03-02 20:04:12.440075,1456945452.440075,DECA020000000002,1.127807,13275,15550,14169,1039,6492,40,231,1,6280
0,2016-03-02 20:04:12.455675,1456945452.455675,DECA020000000003,1.116701,12927,15740,10941,1032,7050,40,243,1,6282
1,2016-03-02 20:04:12.471275,1456945452.471275,DECA020000000002,1.152432,10489,15760,15030,1282,6378,48,233,1,6284
1,2016-03-02 20:04:12.486875,1456945452.486875,DECA020000000003,1.097939,5835,14531,15170,903,6681,36,240,1,6286
2,2016-03-02 20:04:12.502475,1456945452.502475,DECA020000000002,1.188782,14395,14768,11965,1190,6148,48,231,1,6288
2,2016-03-02 20:04:12.518075,1456945452.518075,DECA020000000003,1.119599,10836,15523,12177,1093,6647,44,243,1,6290
3,2016-03-02 20:04:12.549275,1456945452.549275,DECA020000000002,1.145396,13032,15774,14558,1076,6636,40,234,1,6292
3,2016-03-02 20:04:12.549275,1456945452.549275,DECA020000000003,1.113183,14402,15675,9401,938,6717,36,239,1,6294
4,2016-03-02 20:04:12.580475,1456945452.580475,DECA020000000002,1.168848,14652,15568,12932,1080,6416,40,230,1,6296
4,2016-03-02 20:04:12.596075,1456945452.596075,DECA020000000003,1.121944,13538,14344,8299,901,6154,36,227,1,6298
5,2016-03-02 20:04:12.611675,1456945452.611675,DECA020000000002,1.162985,15144,15922,13415,1042,7048,40,243,1,6300
5,2016-03-02 20:04:12.627275,1456945452.627275,DECA020000000003,1.093249,13479,14501,8668,900,6101,36,230,1,6302
6,2016-03-02 20:04:12.642875,1456945452.642875,DECA020000000002,1.152432,14119,15591,13839,1083,6575,40,232,1,6304
6,2016-03-02 20:04:12.658475,1456945452.658475,DECA020000000003,1.107320,12617,15038,11560,956,7025,40,242,1,6306
7,2016-03-02 20:04:12.674075,1456945452.674075,DECA020000000002,1.165330,14697,15412,12542,1278,6393,48,228,1,6308
7,2016-03-02 20:04:12.689675,1456945452.689675,DECA020000000003,1.072142,11898,15782,11721,935,6984,36,242,1,6310
8,2016-03-02 20:04:12.705275,1456945452.705275,DECA020000000002,1.181747,14744,15658,12775,1039,6462,40,235,1,6312
8,2016-03-02 20:04:12.720875,1456945452.720875,DECA020000000003,1.102630,12723,14693,8814,934,6054,36,228,1,6314
9,2016-03-02 20:04:12.736475,1456945452.736475,DECA020000000002,1.146569,14382,14849,12312,1003,6243,40,233,1,6316
9,2016-03-02 20:04:12.752075,1456945452.752075,DECA020000000003,1.101457,13470,15099,8852,837,6485,32,232,1,6318
10,2016-03-02 20:04:12.783275,1456945452.783275,DECA020000000002,1.143051,13437,15996,14448,1181,6663,44,236,1,6320
10,2016-03-02 20:04:12.783275,1456945452.783275,DECA020000000003,1.106148,6404,14237,14355,893,6341,36,229,1,6322
11,2016-03-02 20:04:12.814475,1456945452.814475,DECA020000000002,1.171193,13910,14425,12612,1053,6057,44,235,1,6324
11,2016-03-02 20:04:12.830075,1456945452.830075,DECA020000000003,1.104975,6218,14537,14634,950,6775,40,241,1,6326
12,2016-03-02 20:04:12.845675,1456945452.845675,DECA020000000002,1.144224,12476,15382,13973,1184,6101,44,229,1,6328
12,2016-03-02 20:04:12.861275,1456945452.861275,DECA020000000003,1.088559,13566,15992,10161,1036,6764,40,243,1,6330
13,2016-03-02 20:04:12.876876,1456945452.876876,DECA020000000002,1.150087,13670,15203,12872,1132,5980,44,231,1,6332
13,2016-03-02 20:04:12.892476,1456945452.892476,DECA020000000003,1.097939,10985,14910,11935,935,6404,36,230,1,6334
14,2016-03-02 20:04:12.908076,1456945452.908076,DECA020000000002,1.158295,15163,16298,14090,1239,7131,48,243,1,6336
14,2016-03-02 20:04:12.923676,1456945452.923676,DECA020000000003,1.107320,12939,15033,9255,936,5992,36,228,1,6338
15,2016-03-02 20:04:12.939276,1456945452.939276,DECA020000000002,1.162985,14601,15696,13592,1177,6646,44,232,1,6340
15,2016-03-02 20:04:12.954876,1456945452.954876,DECA020000000003,1.082696,14389,15663,9012,1035,6629,40,241,1,6342
16,2016-03-02 20:04:12.986076,1456945452.986076,DECA020000000002,1.168848,14330,15154,13320,1094,6490,44,237,1,6344
16,2016-03-02 20:04:12.986076,1456945452.986076,DECA020000000003,1.133670,10136,15100,12101,937,6238,36,229,1,6346
17,2016-03-02 20:04:13.017276,1456945453.017276,DECA020000000002,1.139533,12085,14878,14151,996,6219,40,235,1,6348
17,2016-03-02 20:04:13.032876,1456945453.032876,DECA020000000003,1.114356,12005,15240,10574,931,6068,36,231,1,6350
18,2016-03-02 20:04:13.048476,1456945453.048476,DECA020000000002,1.144224,13923,15116,13448,1038,6287,40,230,1,6352
18,2016-03-02 20:04:13.064076,1456945453.064076,DECA020000000003,1.113183,5626,14754,15061,902,6523,36,238,1,6354
19,2016-03-02 20:04:13.079676,1456945453.079676,DECA020000000002,1.128980,11982,14986,14304,1037,6225,40,231,1,6356
19,2016-03-02 20:04:13.095276,1456945453.095276,DECA020000000003,1.087386,6217,14279,14690,953,6697,40,239,1,6358
20,2016-03-02 20:04:13.110876,1456945453.110876,DECA020000000002,1.161813,12457,15840,14663,1084,6523,40,234,1,6360
20,2016-03-02 20:04:13.126476,1456945453.126476,DECA020000000003,1.104975,10955,15508,12618,1032,6834,40,238,1,6362
21,2016-03-02 20:04:13.157676,1456945453.157676,DECA020000000002,1.140706,11651,15690,14723,1037,6334,40,237,1,6364
22,2016-03-02 20:04:13.173276,1456945453.173276,DECA020000000002,1.137188,14594,15092,10804,1045,5932,40,234,2,6367
22,2016-03-02 20:04:13.188876,1456945453.188876,DECA020000000003,1.123117,9913,15001,12594,1033,6248,40,229,2,6369
23,2016-03-02 20:04:13.220076,1456945453.220076,DECA020000000002,1.140706,15241,15297,10829,1035,6476,40,233,2,6371
23,2016-03-02 20:04:13.220076,1456945453.220076,DECA020000000003,1.111391,6623,15235,14532,998,6531,40,239,2,6373
24,2016-03-02 20:04:13.251276,1456945453.251276,DECA020000000002,1.147741,13944,15160,12894,1138,6069,44,234,2,6375
25,2016-03-02 20:04:13.282476,1456945453.282476,DECA020000000002,1.134843,14935,15271,10561,1044,6051,40,229,3,6378
25,2016-03-02 20:04:13.282476,1456945453.282476,DECA020000000003,1.089731,12103,15760,11268,1036,6721,40,240,3,6380
26,2016-03-02 20:04:13.313676,1456945453.313676,DECA020000000002,1.136016,12143,15089,14418,1040,6343,40,234,3,6382
