sequence,iso,unix,euid,ranging,fpAmp1,fpAmp2,fpAmp3,ldeThreshold,maxGrowthCIR,stdNoise,preamCount,timeouts,rxmsgs
21,2016-03-02 20:19:52.787326,1456946392.787326,DECA020000000003,1.070970,14296,15523,12334,1428,6257,56,238,0,2624
22,2016-03-02 20:19:52.802926,1456946392.802926,DECA020000000002,1.151259,15471,14878,12861,1750,7664,68,240,0,2626
22,2016-03-02 20:19:52.818526,1456946392.818526,DECA020000000003,1.053381,11158,15443,14960,1427,6643,56,238,0,2628
23,2016-03-02 20:19:52.834126,1456946392.834126,DECA020000000002,1.138361,14399,15347,12464,1640,7556,64,233,0,2630
23,2016-03-02 20:19:52.849726,1456946392.849726,DECA020000000003,1.021721,15213,15172,9393,1331,6243,52,230,0,2632
24,2016-03-02 20:19:52.865326,1456946392.865326,DECA020000000002,1.147741,13850,15436,15379,1542,7875,60,236,0,2634
24,2016-03-02 20:19:52.880926,1456946392.880926,DECA020000000003,1.076833,14530,15250,12504,1328,6502,52,231,0,2636
25,2016-03-02 20:19:52.912126,1456946392.912126,DECA020000000002,1.151259,14376,14700,14761,1518,7500,64,239,0,2638
25,2016-03-02 20:19:52.912126,1456946392.912126,DECA020000000003,1.079178,12852,15872,14631,1238,6884,48,236,0,2640
26,2016-03-02 20:19:52.943326,1456946392.943326,DECA020000000002,1.120772,15305,15552,13289,1550,7657,60,235,0,2642
26,2016-03-02 20:19:52.943326,1456946392.943326,DECA020000000003,1.072142,12171,15014,14359,1432,6517,56,233,0,2644
27,2016-03-02 20:19:52.974526,1456946392.974526,DECA020000000002,1.144224,14300,15596,13057,1395,7321,52,232,0,2646
27,2016-03-02 20:19:52.990126,1456946392.990126,DECA020000000003,1.054554,9726,15954,15314,1181,6726,44,236,0,2648
28,2016-03-02 20:19:53.005726,1456946393.005726,DECA020000000002,1.173538,15185,15140,8464,1536,7403,60,231,0,2650
28,2016-03-02 20:19:53.021326,1456946393.021326,DECA020000000003,1.083868,11316,15052,13450,1135,5849,44,232,0,2652
29,2016-03-02 20:19:53.036926,1456946393.036926,DECA020000000002,1.137188,15940,15231,11616,1649,7630,64,238,0,2654
29,2016-03-02 20:19:53.052526,1456946393.052526,DECA020000000003,1.076833,15186,15243,10376,1034,6179,40,235,0,2656
30,2016-03-02 20:19:53.068126,1456946393.068126,DECA020000000002,1.140706,13278,15841,15127,1746,7493,68,237,0,2658
30,2016-03-02 20:19:53.099326,1456946393.099326,DECA020000000003,1.069797,15085,14828,9786,1371,6116,56,237,0,2660
31,2016-03-02 20:19:53.114926,1456946393.114926,DECA020000000002,1.116082,15226,15360,13384,1652,7617,64,237,0,2662
31,2016-03-02 20:19:53.114926,1456946393.114926,DECA020000000003,1.078005,13955,14751,11805,1184,5919,48,233,0,2664
32,2016-03-02 20:19:53.146126,1456946393.146126,DECA020000000002,1.125462,15080,15773,13249,1651,7785,64,238,0,2666
32,2016-03-02 20:19:53.146126,1456946393.146126,DECA020000000003,1.083868,13891,16085,13921,1287,6925,48,237,0,2668
33,2016-03-02 20:19:53.177326,1456946393.177326,DECA020000000002,1.155950,14833,14791,12155,1476,7429,60,234,0,2670
33,2016-03-02 20:19:53.177326,1456946393.177326,DECA020000000003,1.086214,13629,15399,13301,1285,6435,48,229,0,2672
34,2016-03-02 20:19:53.208526,1456946393.208526,DECA020000000002,1.124290,15276,15280,11408,1442,7709,56,234,0,2674
34,2016-03-02 20:19:53.224126,1456946393.224126,DECA020000000003,1.068625,15973,15611,8875,1487,6677,56,237,0,2676
35,2016-03-02 20:19:53.239726,1456946393.239726,DECA020000000002,1.126635,15128,16147,13485,1647,8073,64,241,0,2678
35,2016-03-02 20:19:53.255326,1456946393.255326,DECA020000000003,1.089731,13770,14994,12599,999,6102,40,236,0,2680
36,2016-03-02 20:19:53.270927,1456946393.270927,DECA020000000002,1.114909,14955,14820,14132,1579,7971,64,240,0,2682
36,2016-03-02 20:19:53.286527,1456946393.286527,DECA020000000003,1.067452,13799,15045,12443,1327,6336,52,233,0,2684
37,2016-03-02 20:19:53.302127,1456946393.302127,DECA020000000002,1.133670,13918,16031,14660,1615,7500,60,239,0,2686
37,2016-03-02 20:19:53.317727,1456946393.317727,DECA020000000003,1.112010,14368,15789,13621,1332,6942,52,238,0,2688
38,2016-03-02 20:19:53.333327,1456946393.333327,DECA020000000002,1.147741,14279,15965,15562,1749,7914,68,239,0,2690
38,2016-03-02 20:19:53.348927,1456946393.348927,DECA020000000003,1.069797,12545,15670,14012,1131,6422,44,235,0,2692
39,2016-03-02 20:19:53.380127,1456946393.380127,DECA020000000002,1.125462,15128,15510,13298,1552,7607,60,237,0,2694
39,2016-03-02 20:19:53.380127,1456946393.380127,DECA020000000003,1.056899,10444,15565,14975,1140,6694,44,238,0,2696
40,2016-03-02 20:19:53.411327,1456946393.411327,DECA020000000002,1.136016,15570,15358,9099,1546,7563,60,233,0,2698
40,2016-03-02 20:19:53.426927,1456946393.426927,DECA020000000003,1.085041,12669,14366,13827,1136,6330,48,234,0,2700
41,2016-03-02 20:19:53.442527,1456946393.442527,DECA020000000002,1.134843,15228,14760,9677,1636,7355,64,231,0,2702
41,2016-03-02 20:19:53.458127,1456946393.458127,DECA020000000003,1.085041,13772,14722,12620,1085,6257,44,233,0,2704
42,2016-03-02 20:19:53.473727,1456946393.473727,DECA020000000002,1.158295,14509,15673,14556,1648,7658,64,236,0,2706
42,2016-03-02 20:19:53.489327,1456946393.489327,DECA020000000003,1.081523,14528,15179,11342,1433,6233,56,228,0,2708
43,2016-03-02 20:19:53.504927,1456946393.504927,DECA020000000002,1.144224,14841,15933,12584,1714,7376,64,236,0,2710
43,2016-03-02 20:19:53.520527,1456946393.520527,DECA020000000003,1.070970,13061,15168,14164,1237,6662,48,232,0,2712
44,2016-03-02 20:19:53.551727,1456946393.551727,DECA020000000002,1.155950,15336,15164,8537,1546,7619,60,234,0,2714
44,2016-03-02 20:19:53.551727,1456946393.551727,DECA020000000003,1.062762,15122,16368,13691,1340,7310,52,243,0,2716
45,2016-03-02 20:19:53.582927,1456946393.582927,DECA020000000002,1.118427,13132,14206,12148,1341,6441,52,217,0,2718
45,2016-03-02 20:19:53.582927,1456946393.582927,DECA020000000003,1.061589,15481,15113,9029,1232,6233,48,234,0,2720
46,2016-03-02 20:19:53.614127,1456946393.614127,DECA020000000002,1.145396,15251,15420,12782,1449,7532,56,238,0,2722
46,2016-03-02 20:19:53.629727,1456946393.629727,DECA020000000003,1.078005,14833,15130,11094,1181,6251,48,238,0,2724
47,2016-03-02 20:19:53.645327,1456946393.645327,DECA020000000002,1.159467,14397,15934,13459,1290,7984,48,236,0,2726
47,2016-03-02 20:19:53.660927,1456946393.660927,DECA020000000003,1.080351,14061,15892,13995,1146,6968,44,238,0,2728
48,2016-03-02 20:19:53.676527,1456946393.676527,DECA020000000002,1.164158,14674,15962,12298,1603,7709,60,237,0,2730
48,2016-03-02 20:19:53.692127,1456946393.692127,DECA020000000003,1.086214,13508,15575,13555,1133,6363,44,235,0,2732
49,2016-03-02 20:19:53.707727,1456946393.707727,DECA020000000002,1.113736,13069,15660,14204,1542,7407,60,235,0,2734
49,2016-03-02 20:19:53.723327,1456946393.723327,DECA020000000003,1.079178,12475,15058,13882,1329,6442,52,232,0,2736
50,2016-03-02 20:19:53.738927,1456946393.738927,DECA020000000002,1.125462,14464,14914,11201,1742,6905,68,232,0,2738
50,2016-03-02 20:19:53.754527,1456946393.754527,DECA020000000003,1.073315,13301,15820,14102,1279,6758,48,233,0,2740
51,2016-03-02 20:19:53.785727,1456946393.785727,DECA020000000002,1.155950,14983,16126,13912,1649,8078,64,242,0,2742
51,2016-03-02 20:19:53.785727,1456946393.785727,DECA020000000003,1.062762,15437,16096,11812,1282,6982,48,239,0,2744
52,2016-03-02 20:19:53.816927,1456946393.816927,DECA020000000002,1.159467,15479,15937,10522,1743,7598,68,238,0,2746
52,2016-03-02 20:19:53.816927,1456946393.816927,DECA020000000003,1.052208,14977,15054,8819,1000,6479,40,236,0,2748
53,2016-03-02 20:19:53.848128,1456946393.848128,DECA020000000002,1.113736,15087,15532,13334,1653,7635,64,237,0,2750
53,2016-03-02 20:19:53.863728,1456946393.863728,DECA020000000003,1.095594,13931,15212,12062,1334,6119,52,234,0,2752
54,2016-03-02 20:19:53.879328,1456946393.879328,DECA020000000002,1.143051,15118,14944,12156,1680,7420,68,237,0,2754
54,2016-03-02 20:19:53.894928,1456946393.894928,DECA020000000003,1.092076,13807,15431,13188,1333,6525,52,231,0,2756
55,2016-03-02 20:19:53.910528,1456946393.910528,DECA020000000002,1.162985,15353,15514,9380,1650,7615,64,235,0,2758
55,2016-03-02 20:19:53.926128,1456946393.926128,DECA020000000003,1.072142,12911,15713,14514,1237,6837,48,236,0,2760
