sequence,iso,unix,euid,ranging,fpAmp1,fpAmp2,fpAmp3,ldeThreshold,maxGrowthCIR,stdNoise,preamCount,timeouts,rxmsgs
0,2016-03-02 20:23:42.844930,1456946622.84493,DECA020000000003,1.079178,15521,15552,9889,1233,6509,48,235,1,1243
1,2016-03-02 20:23:42.860530,1456946622.86053,DECA020000000002,1.147741,14479,15112,12599,1640,7514,64,231,1,1245
1,2016-03-02 20:23:42.876130,1456946622.87613,DECA020000000003,1.089731,14012,15968,12897,1234,6644,48,239,1,1247
2,2016-03-02 20:23:42.891730,1456946622.89173,DECA020000000002,1.170021,15847,15498,9298,1550,8144,60,240,1,1249
2,2016-03-02 20:23:42.907330,1456946622.90733,DECA020000000003,1.070970,14167,15064,10603,1131,5963,44,232,1,1251
3,2016-03-02 20:23:42.922930,1456946622.92293,DECA020000000002,1.123117,15541,15362,12527,1544,8100,60,241,1,1253
3,2016-03-02 20:23:42.938530,1456946622.93853,DECA020000000003,1.083868,13746,16022,13965,1326,6864,52,238,1,1255
4,2016-03-02 20:23:42.969730,1456946622.96973,DECA020000000002,1.141879,13611,15362,14816,1547,7783,60,232,1,1257
4,2016-03-02 20:23:42.969730,1456946622.96973,DECA020000000003,1.083868,12905,15928,14507,1187,6834,44,235,1,1259
5,2016-03-02 20:23:43.000930,1456946623.00093,DECA020000000002,1.147741,15220,14609,8168,1543,7242,60,227,1,1261
5,2016-03-02 20:23:43.000930,1456946623.00093,DECA020000000003,1.083868,14987,15560,11666,1032,6535,40,233,1,1263
6,2016-03-02 20:23:43.032130,1456946623.03213,DECA020000000002,1.116701,14972,15759,13093,1641,7750,64,240,1,1265
6,2016-03-02 20:23:43.047730,1456946623.04773,DECA020000000003,1.080351,14134,15845,13231,1189,6662,44,234,1,1267
7,2016-03-02 20:23:43.063330,1456946623.06333,DECA020000000002,1.136016,14169,15443,12512,1543,7175,60,230,1,1269
7,2016-03-02 20:23:43.078930,1456946623.07893,DECA020000000003,1.058071,14205,14863,11272,1128,6169,44,229,1,1271
8,2016-03-02 20:23:43.094530,1456946623.09453,DECA020000000002,1.168848,15600,15787,13135,1643,8238,64,239,1,1273
8,2016-03-02 20:23:43.110130,1456946623.11013,DECA020000000003,1.066279,15235,15734,11054,1140,6649,44,236,1,1275
9,2016-03-02 20:23:43.125730,1456946623.12573,DECA020000000002,1.138361,13924,15435,14534,1646,7670,64,235,1,1277
9,2016-03-02 20:23:43.141330,1456946623.14133,DECA020000000003,1.081523,13072,14875,13308,1526,6266,60,232,1,1279
10,2016-03-02 20:23:43.156930,1456946623.15693,DECA020000000002,1.128980,15059,15411,14180,1481,8183,60,240,1,1281
10,2016-03-02 20:23:43.172530,1456946623.17253,DECA020000000003,1.082696,13860,15167,12528,999,6170,40,237,1,1283
11,2016-03-02 20:23:43.188130,1456946623.18813,DECA020000000002,1.103802,15431,15222,13999,1753,7930,68,240,1,1285
11,2016-03-02 20:23:43.203730,1456946623.20373,DECA020000000003,1.088559,14089,15530,13547,1236,6731,48,236,1,1287
12,2016-03-02 20:23:43.234930,1456946623.23493,DECA020000000002,1.113183,14848,15132,11291,1733,7512,68,232,1,1289
12,2016-03-02 20:23:43.234930,1456946623.23493,DECA020000000003,1.067452,14796,16209,13351,1393,7052,52,239,1,1291
13,2016-03-02 20:23:43.266130,1456946623.26613,DECA020000000002,1.170021,15767,15820,8650,1644,8444,64,240,1,1293
13,2016-03-02 20:23:43.266130,1456946623.26613,DECA020000000003,1.054554,9264,14719,14674,1283,5987,52,233,1,1295
14,2016-03-02 20:23:43.297330,1456946623.29733,DECA020000000002,1.153604,14850,15379,9757,1539,7293,60,230,1,1297
14,2016-03-02 20:23:43.312930,1456946623.31293,DECA020000000003,1.087386,13522,15267,13968,1433,6687,56,237,1,1299
15,2016-03-02 20:23:43.328530,1456946623.32853,DECA020000000002,1.158295,15219,15486,11903,1445,7844,56,234,1,1301
15,2016-03-02 20:23:43.344130,1456946623.34413,DECA020000000003,1.049863,15490,15377,8720,1329,6401,52,233,1,1303
16,2016-03-02 20:23:43.359730,1456946623.35973,DECA020000000002,1.146569,14049,15325,12837,1543,7182,60,232,1,1305
16,2016-03-02 20:23:43.375330,1456946623.37533,DECA020000000003,1.076833,13294,15350,14114,1427,6704,56,233,1,1307
17,2016-03-02 20:23:43.390931,1456946623.390931,DECA020000000002,1.117254,15490,16048,12457,1616,7615,60,237,1,1309
17,2016-03-02 20:23:43.406531,1456946623.406531,DECA020000000003,1.044000,11361,15601,14959,1143,6639,44,237,1,1311
18,2016-03-02 20:23:43.437731,1456946623.437731,DECA020000000002,1.143051,14917,16154,12967,1751,7783,68,241,1,1313
18,2016-03-02 20:23:43.437731,1456946623.437731,DECA020000000003,1.093249,13893,15957,14376,1429,7090,56,239,1,1315
19,2016-03-02 20:23:43.468931,1456946623.468931,DECA020000000002,1.113736,14762,15887,11215,1646,7947,64,238,1,1317
19,2016-03-02 20:23:43.468931,1456946623.468931,DECA020000000003,1.079178,13435,15784,14364,1330,6869,52,239,1,1319
20,2016-03-02 20:23:43.500131,1456946623.500131,DECA020000000002,1.118427,14119,16088,15014,1612,8155,60,238,1,1321
20,2016-03-02 20:23:43.500131,1456946623.500131,DECA020000000003,1.097939,12723,15057,13352,1334,6114,52,232,1,1323
21,2016-03-02 20:23:43.531331,1456946623.531331,DECA020000000002,1.178229,15929,15160,10818,1647,8139,64,239,1,1325
21,2016-03-02 20:23:43.546931,1456946623.546931,DECA020000000003,1.080351,13545,14457,12744,1224,6168,52,233,1,1327
22,2016-03-02 20:23:43.562531,1456946623.562531,DECA020000000002,1.151259,15462,15782,9248,1646,8155,64,240,1,1329
