sequence,iso,unix,euid,ranging,fpAmp1,fpAmp2,fpAmp3,ldeThreshold,maxGrowthCIR,stdNoise,preamCount,timeouts,rxmsgs
0,2016-03-02 20:27:50.744565,1456946870.744565,DECA020000000002,1.132498,14283,15234,10780,1187,6539,48,239,4,5236
0,2016-03-02 20:27:50.760165,1456946870.760165,DECA020000000003,1.083868,14525,15567,10291,1235,6850,48,235,4,5238
1,2016-03-02 20:27:50.791365,1456946870.791365,DECA020000000002,1.132498,15644,16056,10159,1428,7047,56,241,4,5240
1,2016-03-02 20:27:50.791365,1456946870.791365,DECA020000000003,1.070970,13837,14866,10614,1091,6769,44,237,4,5242
2,2016-03-02 20:27:50.822565,1456946870.822565,DECA020000000002,1.132498,13361,15805,13366,1077,6721,40,233,4,5244
2,2016-03-02 20:27:50.822565,1456946870.822565,DECA020000000003,1.094422,13923,14695,10726,1136,6689,48,236,4,5246
3,2016-03-02 20:27:50.853765,1456946870.853765,DECA020000000002,1.152432,12718,14991,13654,998,6536,40,236,4,5248
3,2016-03-02 20:27:50.869365,1456946870.869365,DECA020000000003,1.087386,12392,15668,13234,1234,6923,48,234,4,5250
4,2016-03-02 20:27:50.884965,1456946870.884965,DECA020000000002,1.133670,12846,14740,13299,1089,6408,44,236,4,5252
4,2016-03-02 20:27:50.900565,1456946870.900565,DECA020000000003,1.055726,13819,15936,11659,1288,7122,48,237,4,5254
5,2016-03-02 20:27:50.916165,1456946870.916165,DECA020000000002,1.153604,12805,15818,13839,1137,6679,44,236,4,5256
5,2016-03-02 20:27:50.931765,1456946870.931765,DECA020000000003,1.097939,12384,14844,12609,1287,6734,52,233,4,5258
6,2016-03-02 20:27:50.947365,1456946870.947365,DECA020000000002,1.171193,15019,15872,11367,1133,6725,44,237,4,5260
6,2016-03-02 20:27:50.962965,1456946870.962965,DECA020000000003,1.041655,13140,15259,12045,1132,6697,44,229,4,5262
7,2016-03-02 20:27:50.978565,1456946870.978565,DECA020000000002,1.147741,12686,15604,12892,1330,6272,52,233,4,5264
7,2016-03-02 20:27:50.994165,1456946870.994165,DECA020000000003,1.097939,15245,15169,8711,1131,6898,44,233,4,5266
8,2016-03-02 20:27:51.025365,1456946871.025365,DECA020000000002,1.153604,14593,16086,12652,1183,7020,44,239,4,5268
8,2016-03-02 20:27:51.025365,1456946871.025365,DECA020000000003,1.055726,12514,15432,12715,1130,6899,44,233,4,5270
9,2016-03-02 20:27:51.056565,1456946871.056565,DECA020000000002,1.143051,14006,15304,12753,1130,6672,44,233,4,5272
9,2016-03-02 20:27:51.056565,1456946871.056565,DECA020000000003,1.083868,12956,14612,11187,1090,6498,44,232,4,5274
