sequence,iso,unix,euid,ranging,fpAmp1,fpAmp2,fpAmp3,ldeThreshold,maxGrowthCIR,stdNoise,preamCount,timeouts,rxmsgs
22,2016-03-09 09:21:39.349107,1457511699.349107,DECA020000000003,23.228728,1816,5169,5753,536,569,36,232,1,2391
23,2016-03-09 09:21:39.369107,1457511699.369107,DECA020000000002,25.373394,1967,4906,4607,482,416,32,231,1,2393
23,2016-03-09 09:21:39.389107,1457511699.389107,DECA020000000003,23.193551,4405,5663,3682,536,531,36,233,1,2395
24,2016-03-09 09:21:39.409107,1457511699.409107,DECA020000000002,25.407399,2856,5129,3872,487,402,32,235,1,2397
24,2016-03-09 09:21:39.419107,1457511699.419107,DECA020000000003,23.202931,3563,5792,4601,475,545,32,231,1,2399
25,2016-03-09 09:21:39.439107,1457511699.439107,DECA020000000002,25.414435,1055,4452,5370,486,465,32,231,1,2401
25,2016-03-09 09:21:39.449107,1457511699.449107,DECA020000000003,23.166581,2199,5399,5260,548,523,36,227,1,2403
26,2016-03-09 09:21:39.469107,1457511699.469107,DECA020000000002,25.405054,2451,5104,4283,483,420,32,234,1,2405
26,2016-03-09 09:21:39.489107,1457511699.489107,DECA020000000003,23.165409,1644,5332,5866,534,586,36,230,1,2407
27,2016-03-09 09:21:39.509107,1457511699.509107,DECA020000000002,25.398019,2680,5156,4156,427,421,28,234,1,2409
27,2016-03-09 09:21:39.519107,1457511699.519107,DECA020000000003,23.174789,2546,5220,5100,428,520,28,238,1,2411
28,2016-03-09 09:21:39.539107,1457511699.539107,DECA020000000002,25.407399,1120,4153,5122,481,433,32,238,1,2413
28,2016-03-09 09:21:39.549107,1457511699.549107,DECA020000000003,23.226383,1337,4835,5862,535,554,36,230,1,2415
29,2016-03-09 09:21:39.569107,1457511699.569107,DECA020000000002,25.402709,2405,5069,4677,484,450,32,239,1,2417
29,2016-03-09 09:21:39.589107,1457511699.589107,DECA020000000003,23.194723,4290,5637,3834,484,512,32,229,1,2419
30,2016-03-09 09:21:39.609107,1457511699.609107,DECA020000000002,25.393328,3663,5262,3504,538,430,36,234,1,2421
30,2016-03-09 09:21:39.619107,1457511699.619107,DECA020000000003,23.180652,3286,5692,4577,485,525,32,234,1,2423
31,2016-03-09 09:21:39.639107,1457511699.639107,DECA020000000002,25.394501,1826,5025,4846,533,452,36,240,1,2425
31,2016-03-09 09:21:39.649107,1457511699.649107,DECA020000000003,23.201759,2767,5586,5571,485,587,32,229,1,2427
32,2016-03-09 09:21:39.669107,1457511699.669107,DECA020000000002,25.375739,2185,4847,4230,482,393,32,232,1,2429
32,2016-03-09 09:21:39.689107,1457511699.689107,DECA020000000003,23.194723,2081,5161,5570,592,548,40,229,1,2431
33,2016-03-09 09:21:39.709107,1457511699.709107,DECA020000000002,25.414435,3605,5376,3853,487,454,32,232,1,2433
33,2016-03-09 09:21:39.719107,1457511699.719107,DECA020000000003,23.170099,3993,5918,4365,537,561,36,235,1,2435
34,2016-03-09 09:21:39.739107,1457511699.739107,DECA020000000002,25.398019,3581,5143,3463,534,417,36,232,1,2437
34,2016-03-09 09:21:39.749107,1457511699.749107,DECA020000000003,23.150165,3800,5668,4416,480,544,32,230,1,2439
35,2016-03-09 09:21:39.769107,1457511699.769107,DECA020000000002,25.420298,2993,5068,3749,541,401,36,234,1,2441
35,2016-03-09 09:21:39.789107,1457511699.789107,DECA020000000003,23.212312,3999,5237,3490,426,451,28,227,1,2443
36,2016-03-09 09:21:39.809107,1457511699.809107,DECA020000000002,25.388638,1276,4544,5316,540,463,36,235,1,2445
36,2016-03-09 09:21:39.819107,1457511699.819107,DECA020000000003,23.184170,4395,5643,3757,484,526,32,232,1,2447
37,2016-03-09 09:21:39.839107,1457511699.839107,DECA020000000002,25.390983,1272,4594,4974,482,432,32,233,1,2449
37,2016-03-09 09:21:39.849107,1457511699.849107,DECA020000000003,23.194723,3126,5854,5531,535,635,36,232,1,2451
38,2016-03-09 09:21:39.879108,1457511699.879108,DECA020000000002,25.412090,2845,4585,3388,481,334,32,236,1,2453
38,2016-03-09 09:21:39.889108,1457511699.889108,DECA020000000003,23.187688,4434,5383,3267,539,490,36,232,1,2455
39,2016-03-09 09:21:39.909108,1457511699.909108,DECA020000000002,25.380430,1796,5017,4649,537,427,36,237,1,2457
39,2016-03-09 09:21:39.919108,1457511699.919108,DECA020000000003,23.161891,2102,5456,5793,539,595,36,235,1,2459
40,2016-03-09 09:21:39.939108,1457511699.939108,DECA020000000002,25.400364,3569,4846,3131,536,380,36,235,1,2461
40,2016-03-09 09:21:39.949108,1457511699.949108,DECA020000000003,23.207622,3462,5954,5161,477,624,32,234,1,2463
41,2016-03-09 09:21:39.979108,1457511699.979108,DECA020000000002,25.409744,2796,5171,4145,535,428,36,239,1,2465
41,2016-03-09 09:21:39.989108,1457511699.989108,DECA020000000003,23.154855,2729,5490,5103,487,542,32,232,1,2467
42,2016-03-09 09:21:40.009108,1457511700.009108,DECA020000000002,25.422643,1950,4668,4538,484,404,32,236,1,2469
42,2016-03-09 09:21:40.019108,1457511700.019108,DECA020000000003,23.164236,4843,5813,3475,590,555,40,232,1,2471
43,2016-03-09 09:21:40.039108,1457511700.039108,DECA020000000002,25.394501,3292,5170,3708,482,420,32,236,1,2473
43,2016-03-09 09:21:40.059108,1457511700.059108,DECA020000000003,23.148992,2326,5458,5580,536,582,36,232,1,2475
44,2016-03-09 09:21:40.079108,1457511700.079108,DECA020000000002,25.388638,1833,4935,4912,485,449,32,236,1,2477
44,2016-03-09 09:21:40.089108,1457511700.089108,DECA020000000003,23.197069,2313,4687,4818,428,441,28,227,1,2479
45,2016-03-09 09:21:40.109108,1457511700.109108,DECA020000000002,25.385120,2561,5189,4433,482,445,32,239,1,2481
45,2016-03-09 09:21:40.119108,1457511700.119108,DECA020000000003,23.181825,4196,6074,4404,585,599,40,229,1,2483
46,2016-03-09 09:21:40.139108,1457511700.139108,DECA020000000002,25.390983,1631,4806,4695,538,415,36,235,1,2485
46,2016-03-09 09:21:40.149108,1457511700.149108,DECA020000000003,23.182997,2785,5672,5298,432,576,28,238,1,2487
47,2016-03-09 09:21:40.179108,1457511700.179108,DECA020000000002,25.412090,3524,5286,3499,481,429,32,239,1,2489
47,2016-03-09 09:21:40.189108,1457511700.189108,DECA020000000003,23.192378,4182,5880,4185,538,559,36,231,1,2491
48,2016-03-09 09:21:40.209108,1457511700.209108,DECA020000000002,25.390983,1929,4705,4751,488,419,32,234,1,2493
48,2016-03-09 09:21:40.219108,1457511700.219108,DECA020000000003,23.171272,4471,5801,4062,488,571,32,234,1,2495
49,2016-03-09 09:21:40.239108,1457511700.239108,DECA020000000002,25.379257,3378,5114,3440,481,400,32,236,1,2497
49,2016-03-09 09:21:40.249108,1457511700.249108,DECA020000000003,23.175962,4334,6188,4125,545,593,36,233,1,2499
50,2016-03-09 09:21:40.279108,1457511700.279108,DECA020000000002,25.383947,2290,4974,4317,594,409,40,236,1,2501
50,2016-03-09 09:21:40.289108,1457511700.289108,DECA020000000003,23.175962,2159,5489,6084,539,646,36,235,1,2503
51,2016-03-09 09:21:40.309108,1457511700.309108,DECA020000000002,25.379257,1975,5045,4898,534,460,36,237,1,2505
51,2016-03-09 09:21:40.319108,1457511700.319108,DECA020000000003,23.161891,2221,5391,5910,531,630,36,236,1,2507
52,2016-03-09 09:21:40.339108,1457511700.339108,DECA020000000002,25.421470,2915,4934,3504,475,376,32,236,1,2509
52,2016-03-09 09:21:40.359108,1457511700.359108,DECA020000000003,23.170099,1482,4906,5842,484,563,32,233,1,2511
53,2016-03-09 09:21:40.379108,1457511700.379108,DECA020000000002,25.353460,2428,4534,3828,537,348,36,238,1,2513
53,2016-03-09 09:21:40.389108,1457511700.389108,DECA020000000003,23.190033,2165,4810,5071,542,473,36,228,1,2515
54,2016-03-09 09:21:40.409108,1457511700.409108,DECA020000000002,25.398019,1847,4829,4708,482,422,32,238,1,2517
54,2016-03-09 09:21:40.419108,1457511700.419108,DECA020000000003,23.168926,3868,6340,5211,533,683,36,239,1,2519
55,2016-03-09 09:21:40.439108,1457511700.439108,DECA020000000002,25.380430,1912,4735,4872,536,437,36,235,1,2521
55,2016-03-09 09:21:40.459108,1457511700.459108,DECA020000000003,23.154855,2298,5231,5314,483,529,32,231,1,2523
56,2016-03-09 09:21:40.479108,1457511700.479108,DECA020000000002,25.364013,1524,4502,5063,587,439,40,232,1,2525
56,2016-03-09 09:21:40.489108,1457511700.489108,DECA020000000003,23.184170,4201,6029,4086,535,578,36,231,1,2527
57,2016-03-09 09:21:40.509108,1457511700.509108,DECA020000000002,25.380430,3459,4768,2905,484,359,32,238,1,2529
57,2016-03-09 09:21:40.519108,1457511700.519108,DECA020000000003,23.185343,2124,5134,5399,536,534,36,229,1,2531
58,2016-03-09 09:21:40.539108,1457511700.539108,DECA020000000002,25.348770,3174,5154,3670,588,408,40,238,1,2533
58,2016-03-09 09:21:40.559108,1457511700.559108,DECA020000000003,23.163063,2229,4932,4809,536,460,36,227,1,2535
59,2016-03-09 09:21:40.569109,1457511700.569109,DECA020000000002,25.372222,3044,5165,3998,539,421,36,232,1,2537
59,2016-03-09 09:21:40.589109,1457511700.589109,DECA020000000003,23.171272,4577,6044,3913,645,575,44,229,1,2539
60,2016-03-09 09:21:40.609109,1457511700.609109,DECA020000000002,25.408572,2315,4993,4205,538,403,36,233,1,2541
60,2016-03-09 09:21:40.619109,1457511700.619109,DECA020000000003,23.161891,2023,5287,5532,537,550,36,230,1,2543
61,2016-03-09 09:21:40.639109,1457511700.639109,DECA020000000002,25.375739,2714,4798,3892,537,372,36,230,1,2545
61,2016-03-09 09:21:40.649109,1457511700.649109,DECA020000000003,23.156028,2513,5393,5526,535,568,36,233,1,2547
62,2016-03-09 09:21:40.669109,1457511700.669109,DECA020000000002,25.356978,1601,4340,4537,482,382,32,238,1,2549
62,2016-03-09 09:21:40.689109,1457511700.689109,DECA020000000003,23.175962,2791,5808,5714,591,638,40,233,1,2551
63,2016-03-09 09:21:40.709109,1457511700.709109,DECA020000000002,25.365186,1440,4527,4945,537,424,36,237,1,2553
63,2016-03-09 09:21:40.719109,1457511700.719109,DECA020000000003,23.146647,4110,6073,4601,431,602,28,229,1,2555
64,2016-03-09 09:21:40.739109,1457511700.739109,DECA020000000002,25.398019,3528,5153,3473,482,416,32,234,1,2557
64,2016-03-09 09:21:40.749109,1457511700.749109,DECA020000000003,23.156028,2659,5555,5306,484,561,32,230,1,2559
65,2016-03-09 09:21:40.769109,1457511700.769109,DECA020000000002,25.374567,1648,4883,5184,540,469,36,235,1,2561
65,2016-03-09 09:21:40.779109,1457511700.779109,DECA020000000003,23.177135,2088,5331,5894,483,612,32,233,1,2563
66,2016-03-09 09:21:40.809109,1457511700.809109,DECA020000000002,25.373394,3437,5238,3747,535,434,36,238,1,2565
66,2016-03-09 09:21:40.819109,1457511700.819109,DECA020000000003,23.172444,3260,5578,4210,491,481,32,232,1,2567
67,2016-03-09 09:21:40.839109,1457511700.839109,DECA020000000002,25.382775,3370,4591,2973,590,341,40,237,1,2569
67,2016-03-09 09:21:40.849109,1457511700.849109,DECA020000000003,23.150165,2383,5090,5019,483,486,32,234,1,2571
68,2016-03-09 09:21:40.869109,1457511700.869109,DECA020000000002,25.381602,3903,5078,2965,541,406,36,236,1,2573
68,2016-03-09 09:21:40.889109,1457511700.889109,DECA020000000003,23.163063,2228,5320,5626,535,572,36,233,1,2575
